period,status,sex,age,population
2008-06-30,F,female,0-14,436700
2008-06-30,F,female,0-4,146740
2008-06-30,F,female,10-14,148020
2008-06-30,F,female,15-19,156530
2008-06-30,F,female,15-39,745200
2008-06-30,F,female,20-24,144350
2008-06-30,F,female,25-29,137430
2008-06-30,F,female,30-34,142060
2008-06-30,F,female,35-39,164810
2008-06-30,F,female,40-44,163300
2008-06-30,F,female,40-64,700900
2008-06-30,F,female,45-49,164900
2008-06-30,F,female,5-9,141960
2008-06-30,F,female,50-54,141130
2008-06-30,F,female,55-59,123900
2008-06-30,F,female,60-64,107630
2008-06-30,F,female,65-69,84980
2008-06-30,F,female,65+,293600
2008-06-30,F,female,70-74,65270
2008-06-30,F,female,75-79,56030
2008-06-30,F,female,80-84,44640
2008-06-30,F,female,85-89,27940
2008-06-30,F,female,90+,14710
2008-09-30,F,female,0-14,437100
2008-09-30,F,female,0-4,147570
2008-09-30,F,female,10-14,147630
2008-09-30,F,female,15-19,157e3
2008-09-30,F,female,15-39,745500
2008-09-30,F,female,20-24,144690
2008-09-30,F,female,25-29,137780
2008-09-30,F,female,30-34,141380
2008-09-30,F,female,35-39,164650
2008-09-30,F,female,40-44,162950
2008-09-30,F,female,40-64,704100
2008-09-30,F,female,45-49,165700
2008-09-30,F,female,5-9,141930
2008-09-30,F,female,50-54,142200
2008-09-30,F,female,55-59,124470
2008-09-30,F,female,60-64,108810
2008-09-30,F,female,65-69,85620
2008-09-30,F,female,65+,294700
2008-09-30,F,female,70-74,65720
2008-09-30,F,female,75-79,56050
2008-09-30,F,female,80-84,44690
2008-09-30,F,female,85-89,27990
2008-09-30,F,female,90+,14650
2008-12-31,F,female,0-14,437400
2008-12-31,F,female,0-4,148210
2008-12-31,F,female,10-14,146930
2008-12-31,F,female,15-19,156670
2008-12-31,F,female,15-39,745500
2008-12-31,F,female,20-24,144910
2008-12-31,F,female,25-29,138610
2008-12-31,F,female,30-34,141200
2008-12-31,F,female,35-39,164110
2008-12-31,F,female,40-44,163040
2008-12-31,F,female,40-64,707700
2008-12-31,F,female,45-49,166040
2008-12-31,F,female,5-9,142300
2008-12-31,F,female,50-54,143210
2008-12-31,F,female,55-59,124920
2008-12-31,F,female,60-64,110470
2008-12-31,F,female,65-69,86240
2008-12-31,F,female,65+,296400
2008-12-31,F,female,70-74,66480
2008-12-31,F,female,75-79,55900
2008-12-31,F,female,80-84,44750
2008-12-31,F,female,85-89,28320
2008-12-31,F,female,90+,14730
2009-03-31,F,female,0-14,438300
2009-03-31,F,female,0-4,148780
2009-03-31,F,female,10-14,146810
2009-03-31,F,female,15-19,156810
2009-03-31,F,female,15-39,745900
2009-03-31,F,female,20-24,145570
2009-03-31,F,female,25-29,139040
2009-03-31,F,female,30-34,140890
2009-03-31,F,female,35-39,163600
2009-03-31,F,female,40-44,162910
2009-03-31,F,female,40-64,710900
2009-03-31,F,female,45-49,166610
2009-03-31,F,female,5-9,142700
2009-03-31,F,female,50-54,144160
2009-03-31,F,female,55-59,125520
2009-03-31,F,female,60-64,111670
2009-03-31,F,female,65-69,86810
2009-03-31,F,female,65+,298200
2009-03-31,F,female,70-74,67110
2009-03-31,F,female,75-79,55890
2009-03-31,F,female,80-84,44840
2009-03-31,F,female,85-89,28730
2009-03-31,F,female,90+,14840
2009-06-30,F,female,0-14,439100
2009-06-30,F,female,0-4,149420
2009-06-30,F,female,10-14,146990
2009-06-30,F,female,15-19,156720
2009-06-30,F,female,15-39,745e3
2009-06-30,F,female,20-24,145730
2009-06-30,F,female,25-29,139e3
2009-06-30,F,female,30-34,140450
2009-06-30,F,female,35-39,163110
2009-06-30,F,female,40-44,163090
2009-06-30,F,female,40-64,714100
2009-06-30,F,female,45-49,166830
2009-06-30,F,female,5-9,142670
2009-06-30,F,female,50-54,145240
2009-06-30,F,female,55-59,126280
2009-06-30,F,female,60-64,112710
2009-06-30,F,female,65-69,87610
2009-06-30,F,female,65+,299700
2009-06-30,F,female,70-74,67440
2009-06-30,F,female,75-79,55920
2009-06-30,F,female,80-84,44890
2009-06-30,F,female,85-89,28990
2009-06-30,F,female,90+,14850
2009-09-30,F,female,0-14,439900
2009-09-30,F,female,0-4,150430
2009-09-30,F,female,10-14,147030
2009-09-30,F,female,15-19,157120
2009-09-30,F,female,15-39,746500
2009-09-30,F,female,20-24,146790
2009-09-30,F,female,25-29,139760
2009-09-30,F,female,30-34,140320
2009-09-30,F,female,35-39,162470
2009-09-30,F,female,40-44,163350
2009-09-30,F,female,40-64,717900
2009-09-30,F,female,45-49,167220
2009-09-30,F,female,5-9,142420
2009-09-30,F,female,50-54,146380
2009-09-30,F,female,55-59,126860
2009-09-30,F,female,60-64,114090
2009-09-30,F,female,65-69,88030
2009-09-30,F,female,65+,301100
2009-09-30,F,female,70-74,68190
2009-09-30,F,female,75-79,55940
2009-09-30,F,female,80-84,44840
2009-09-30,F,female,85-89,29350
2009-09-30,F,female,90+,14790
2009-12-31,F,female,0-14,440700
2009-12-31,F,female,0-4,151510
2009-12-31,F,female,10-14,147020
2009-12-31,F,female,15-19,156620
2009-12-31,F,female,15-39,747700
2009-12-31,F,female,20-24,147930
2009-12-31,F,female,25-29,140890
2009-12-31,F,female,30-34,140290
2009-12-31,F,female,35-39,161980
2009-12-31,F,female,40-44,163410
2009-12-31,F,female,40-64,721600
2009-12-31,F,female,45-49,167790
2009-12-31,F,female,5-9,142180
2009-12-31,F,female,50-54,147290
2009-12-31,F,female,55-59,127630
2009-12-31,F,female,60-64,115500
2009-12-31,F,female,65-69,88520
2009-12-31,F,female,65+,302900
2009-12-31,F,female,70-74,69130
2009-12-31,F,female,75-79,55860
2009-12-31,F,female,80-84,45010
2009-12-31,F,female,85-89,29390
2009-12-31,F,female,90+,15010
2010-03-31,F,female,0-14,441900
2010-03-31,F,female,0-4,152360
2010-03-31,F,female,10-14,147300
2010-03-31,F,female,15-19,156770
2010-03-31,F,female,15-39,748400
2010-03-31,F,female,20-24,149e3
2010-03-31,F,female,25-29,141190
2010-03-31,F,female,30-34,140150
2010-03-31,F,female,35-39,161290
2010-03-31,F,female,40-44,163820
2010-03-31,F,female,40-64,724800
2010-03-31,F,female,45-49,167540
2010-03-31,F,female,5-9,142190
2010-03-31,F,female,50-54,148460
2010-03-31,F,female,55-59,128220
2010-03-31,F,female,60-64,116740
2010-03-31,F,female,65-69,89240
2010-03-31,F,female,65+,304900
2010-03-31,F,female,70-74,69890
2010-03-31,F,female,75-79,55760
2010-03-31,F,female,80-84,45100
2010-03-31,F,female,85-89,29490
2010-03-31,F,female,90+,15470
2010-06-30,F,female,0-14,442400
2010-06-30,F,female,0-4,152980
2010-06-30,F,female,10-14,147410
2010-06-30,F,female,15-19,156270
2010-06-30,F,female,15-39,746500
2010-06-30,F,female,20-24,149320
2010-06-30,F,female,25-29,140550
2010-06-30,F,female,30-34,139890
2010-06-30,F,female,35-39,160420
2010-06-30,F,female,40-44,163980
2010-06-30,F,female,40-64,727100
2010-06-30,F,female,45-49,167320
2010-06-30,F,female,5-9,142e3
2010-06-30,F,female,50-54,149500
2010-06-30,F,female,55-59,128780
2010-06-30,F,female,60-64,117520
2010-06-30,F,female,65-69,90080
2010-06-30,F,female,65+,307e3
2010-06-30,F,female,70-74,70740
2010-06-30,F,female,75-79,55620
2010-06-30,F,female,80-84,45190
2010-06-30,F,female,85-89,29640
2010-06-30,F,female,90+,15750
2010-09-30,F,female,0-14,443100
2010-09-30,F,female,0-4,153780
2010-09-30,F,female,10-14,147410
2010-09-30,F,female,15-19,156290
2010-09-30,F,female,15-39,746800
2010-09-30,F,female,20-24,150630
2010-09-30,F,female,25-29,140780
2010-09-30,F,female,30-34,139860
2010-09-30,F,female,35-39,159230
2010-09-30,F,female,40-44,164440
2010-09-30,F,female,40-64,730400
2010-09-30,F,female,45-49,167230
2010-09-30,F,female,5-9,141880
2010-09-30,F,female,50-54,150670
2010-09-30,F,female,55-59,129690
2010-09-30,F,female,60-64,118350
2010-09-30,F,female,65-69,90610
2010-09-30,F,female,65+,309e3
2010-09-30,F,female,70-74,72060
2010-09-30,F,female,75-79,55500
2010-09-30,F,female,80-84,45330
2010-09-30,F,female,85-89,29580
2010-09-30,F,female,90+,15940
2010-12-31,F,female,0-14,443400
2010-12-31,F,female,0-4,154280
2010-12-31,F,female,10-14,147360
2010-12-31,F,female,15-19,155330
2010-12-31,F,female,15-39,746300
2010-12-31,F,female,20-24,151650
2010-12-31,F,female,25-29,141370
2010-12-31,F,female,30-34,140370
2010-12-31,F,female,35-39,157570
2010-12-31,F,female,40-44,164860
2010-12-31,F,female,40-64,733900
2010-12-31,F,female,45-49,166920
2010-12-31,F,female,5-9,141740
2010-12-31,F,female,50-54,152010
2010-12-31,F,female,55-59,130300
2010-12-31,F,female,60-64,119770
2010-12-31,F,female,65-69,91090
2010-12-31,F,female,65+,311200
2010-12-31,F,female,70-74,73170
2010-12-31,F,female,75-79,55590
2010-12-31,F,female,80-84,45560
2010-12-31,F,female,85-89,29600
2010-12-31,F,female,90+,16180
2011-03-31,F,female,0-14,443800
2011-03-31,F,female,0-4,154520
2011-03-31,F,female,10-14,147460
2011-03-31,F,female,15-19,155040
2011-03-31,F,female,15-39,745600
2011-03-31,F,female,20-24,152690
2011-03-31,F,female,25-29,141280
2011-03-31,F,female,30-34,140460
2011-03-31,F,female,35-39,156110
2011-03-31,F,female,40-44,165470
2011-03-31,F,female,40-64,736800
2011-03-31,F,female,45-49,166460
2011-03-31,F,female,5-9,141820
2011-03-31,F,female,50-54,152840
2011-03-31,F,female,55-59,131370
2011-03-31,F,female,60-64,120680
2011-03-31,F,female,65-69,91590
2011-03-31,F,female,65+,313e3
2011-03-31,F,female,70-74,73900
2011-03-31,F,female,75-79,55650
2011-03-31,F,female,80-84,45730
2011-03-31,F,female,85-89,29840
2011-03-31,F,female,90+,16320
2011-06-30,F,female,0-14,444e3
2011-06-30,F,female,0-4,154440
2011-06-30,F,female,10-14,147470
2011-06-30,F,female,15-19,154220
2011-06-30,F,female,15-39,742500
2011-06-30,F,female,20-24,152740
2011-06-30,F,female,25-29,140800
2011-06-30,F,female,30-34,14e4
2011-06-30,F,female,35-39,154710
2011-06-30,F,female,40-44,165930
2011-06-30,F,female,40-64,739e3
2011-06-30,F,female,45-49,165720
2011-06-30,F,female,5-9,142060
2011-06-30,F,female,50-54,153890
2011-06-30,F,female,55-59,132270
2011-06-30,F,female,60-64,121240
2011-06-30,F,female,65-69,92280
2011-06-30,F,female,65+,314900
2011-06-30,F,female,70-74,74730
2011-06-30,F,female,75-79,55800
2011-06-30,F,female,80-84,45730
2011-06-30,F,female,85-89,29960
2011-06-30,F,female,90+,16430
2011-09-30,F,female,0-14,443900
2011-09-30,F,female,0-4,154660
2011-09-30,F,female,10-14,147220
2011-09-30,F,female,15-19,154160
2011-09-30,F,female,15-39,742100
2011-09-30,F,female,20-24,153790
2011-09-30,F,female,25-29,140960
2011-09-30,F,female,30-34,140060
2011-09-30,F,female,35-39,153110
2011-09-30,F,female,40-44,166380
2011-09-30,F,female,40-64,741400
2011-09-30,F,female,45-49,165160
2011-09-30,F,female,5-9,142040
2011-09-30,F,female,50-54,155e3
2011-09-30,F,female,55-59,133340
2011-09-30,F,female,60-64,121550
2011-09-30,F,female,65-69,93410
2011-09-30,F,female,65+,317200
2011-09-30,F,female,70-74,75870
2011-09-30,F,female,75-79,55870
2011-09-30,F,female,80-84,45710
2011-09-30,F,female,85-89,29890
2011-09-30,F,female,90+,16460
2011-12-31,F,female,0-14,443400
2011-12-31,F,female,0-4,154300
2011-12-31,F,female,10-14,146880
2011-12-31,F,female,15-19,153540
2011-12-31,F,female,15-39,741200
2011-12-31,F,female,20-24,154280
2011-12-31,F,female,25-29,141420
2011-12-31,F,female,30-34,140160
2011-12-31,F,female,35-39,151780
2011-12-31,F,female,40-44,166600
2011-12-31,F,female,40-64,743300
2011-12-31,F,female,45-49,164920
2011-12-31,F,female,5-9,142190
2011-12-31,F,female,50-54,155860
2011-12-31,F,female,55-59,134380
2011-12-31,F,female,60-64,121550
2011-12-31,F,female,65-69,95080
2011-12-31,F,female,65+,320400
2011-12-31,F,female,70-74,76800
2011-12-31,F,female,75-79,56250
2011-12-31,F,female,80-84,45720
2011-12-31,F,female,85-89,29910
2011-12-31,F,female,90+,16660
2012-03-31,F,female,0-14,443600
2012-03-31,F,female,0-4,154080
2012-03-31,F,female,10-14,146660
2012-03-31,F,female,15-19,153110
2012-03-31,F,female,15-39,740100
2012-03-31,F,female,20-24,154810
2012-03-31,F,female,25-29,141180
2012-03-31,F,female,30-34,140360
2012-03-31,F,female,35-39,150610
2012-03-31,F,female,40-44,166530
2012-03-31,F,female,40-64,744600
2012-03-31,F,female,45-49,164410
2012-03-31,F,female,5-9,142830
2012-03-31,F,female,50-54,156850
2012-03-31,F,female,55-59,135240
2012-03-31,F,female,60-64,121550
2012-03-31,F,female,65-69,96590
2012-03-31,F,female,65+,323600
2012-03-31,F,female,70-74,77730
2012-03-31,F,female,75-79,56570
2012-03-31,F,female,80-84,45700
2012-03-31,F,female,85-89,30060
2012-03-31,F,female,90+,16930
2012-06-30,F,female,0-14,443300
2012-06-30,F,female,0-4,153640
2012-06-30,F,female,10-14,146110
2012-06-30,F,female,15-19,153e3
2012-06-30,F,female,15-39,737300
2012-06-30,F,female,20-24,154300
2012-06-30,F,female,25-29,140570
2012-06-30,F,female,30-34,140280
2012-06-30,F,female,35-39,149150
2012-06-30,F,female,40-44,166740
2012-06-30,F,female,40-64,746400
2012-06-30,F,female,45-49,163590
2012-06-30,F,female,5-9,143580
2012-06-30,F,female,50-54,158090
2012-06-30,F,female,55-59,136040
2012-06-30,F,female,60-64,121900
2012-06-30,F,female,65-69,97740
2012-06-30,F,female,65+,326100
2012-06-30,F,female,70-74,78530
2012-06-30,F,female,75-79,56910
2012-06-30,F,female,80-84,45760
2012-06-30,F,female,85-89,30080
2012-06-30,F,female,90+,17040
2012-09-30,F,female,0-14,443300
2012-09-30,F,female,0-4,153320
2012-09-30,F,female,10-14,145790
2012-09-30,F,female,15-19,153030
2012-09-30,F,female,15-39,737100
2012-09-30,F,female,20-24,154810
2012-09-30,F,female,25-29,140970
2012-09-30,F,female,30-34,140360
2012-09-30,F,female,35-39,147970
2012-09-30,F,female,40-44,166940
2012-09-30,F,female,40-64,748200
2012-09-30,F,female,45-49,163140
2012-09-30,F,female,5-9,144170
2012-09-30,F,female,50-54,158910
2012-09-30,F,female,55-59,137050
2012-09-30,F,female,60-64,122150
2012-09-30,F,female,65-69,99460
2012-09-30,F,female,65+,328500
2012-09-30,F,female,70-74,79100
2012-09-30,F,female,75-79,57210
2012-09-30,F,female,80-84,45710
2012-09-30,F,female,85-89,30020
2012-09-30,F,female,90+,17030
2012-12-31,F,female,0-14,443100
2012-12-31,F,female,0-4,153040
2012-12-31,F,female,10-14,145180
2012-12-31,F,female,15-19,152620
2012-12-31,F,female,15-39,737100
2012-12-31,F,female,20-24,155160
2012-12-31,F,female,25-29,141550
2012-12-31,F,female,30-34,141060
2012-12-31,F,female,35-39,146750
2012-12-31,F,female,40-44,167020
2012-12-31,F,female,40-64,75e4
2012-12-31,F,female,45-49,162670
2012-12-31,F,female,5-9,144920
2012-12-31,F,female,50-54,159820
2012-12-31,F,female,55-59,137830
2012-12-31,F,female,60-64,122670
2012-12-31,F,female,65-69,101530
2012-12-31,F,female,65+,331700
2012-12-31,F,female,70-74,79410
2012-12-31,F,female,75-79,57750
2012-12-31,F,female,80-84,45910
2012-12-31,F,female,85-89,30030
2012-12-31,F,female,90+,17110
2013-03-31,F,female,0-14,443100
2013-03-31,F,female,0-4,152380
2013-03-31,F,female,10-14,144800
2013-03-31,F,female,15-19,152500
2013-03-31,F,female,15-39,737500
2013-03-31,F,female,20-24,155720
2013-03-31,F,female,25-29,141990
2013-03-31,F,female,30-34,141510
2013-03-31,F,female,35-39,145790
2013-03-31,F,female,40-44,166890
2013-03-31,F,female,40-64,751500
2013-03-31,F,female,45-49,162e3
2013-03-31,F,female,5-9,145900
2013-03-31,F,female,50-54,161050
2013-03-31,F,female,55-59,138680
2013-03-31,F,female,60-64,122900
2013-03-31,F,female,65-69,103540
2013-03-31,F,female,65+,334900
2013-03-31,F,female,70-74,79760
2013-03-31,F,female,75-79,57980
2013-03-31,F,female,80-84,46e3
2013-03-31,F,female,85-89,30240
2013-03-31,F,female,90+,17350
2013-06-30,F,female,0-14,442900
2013-06-30,F,female,0-4,151770
2013-06-30,F,female,10-14,144580
2013-06-30,F,female,15-19,152330
2013-06-30,F,female,15-39,736700
2013-06-30,F,female,20-24,155740
2013-06-30,F,female,25-29,142160
2013-06-30,F,female,30-34,141580
2013-06-30,F,female,35-39,144860
2013-06-30,F,female,40-44,166410
2013-06-30,F,female,40-64,753e3
2013-06-30,F,female,45-49,161890
2013-06-30,F,female,5-9,146490
2013-06-30,F,female,50-54,161990
2013-06-30,F,female,55-59,139590
2013-06-30,F,female,60-64,123110
2013-06-30,F,female,65-69,105190
2013-06-30,F,female,65+,337400
2013-06-30,F,female,70-74,8e4
2013-06-30,F,female,75-79,58330
2013-06-30,F,female,80-84,46030
2013-06-30,F,female,85-89,30440
2013-06-30,F,female,90+,17440
2013-09-30,F,female,0-14,442700
2013-09-30,F,female,0-4,151240
2013-09-30,F,female,10-14,144260
2013-09-30,F,female,15-19,152600
2013-09-30,F,female,15-39,739400
2013-09-30,F,female,20-24,156800
2013-09-30,F,female,25-29,143600
2013-09-30,F,female,30-34,142230
2013-09-30,F,female,35-39,144140
2013-09-30,F,female,40-44,166160
2013-09-30,F,female,40-64,754800
2013-09-30,F,female,45-49,161570
2013-09-30,F,female,5-9,147210
2013-09-30,F,female,50-54,162800
2013-09-30,F,female,55-59,140550
2013-09-30,F,female,60-64,123760
2013-09-30,F,female,65-69,106500
2013-09-30,F,female,65+,340300
2013-09-30,F,female,70-74,80700
2013-09-30,F,female,75-79,58830
2013-09-30,F,female,80-84,46200
2013-09-30,F,female,85-89,30490
2013-09-30,F,female,90+,17540
2013-12-31,F,female,0-14,443300
2013-12-31,F,female,0-4,151020
2013-12-31,F,female,10-14,144350
2013-12-31,F,female,15-19,151900
2013-12-31,F,female,15-39,741900
2013-12-31,F,female,20-24,158050
2013-12-31,F,female,25-29,145300
2013-12-31,F,female,30-34,142980
2013-12-31,F,female,35-39,143660
2013-12-31,F,female,40-44,165720
2013-12-31,F,female,40-64,756600
2013-12-31,F,female,45-49,161800
2013-12-31,F,female,5-9,147900
2013-12-31,F,female,50-54,163200
2013-12-31,F,female,55-59,141540
2013-12-31,F,female,60-64,124370
2013-12-31,F,female,65-69,108240
2013-12-31,F,female,65+,343800
2013-12-31,F,female,70-74,81390
2013-12-31,F,female,75-79,59570
2013-12-31,F,female,80-84,46170
2013-12-31,F,female,85-89,30680
2013-12-31,F,female,90+,17770
2014-03-31,F,female,0-14,443900
2014-03-31,F,female,0-4,150850
2014-03-31,F,female,10-14,144620
2014-03-31,F,female,15-19,152120
2014-03-31,F,female,15-39,745300
2014-03-31,F,female,20-24,159180
2014-03-31,F,female,25-29,146920
2014-03-31,F,female,30-34,143750
2014-03-31,F,female,35-39,143330
2014-03-31,F,female,40-44,165330
2014-03-31,F,female,40-64,758400
2014-03-31,F,female,45-49,161690
2014-03-31,F,female,5-9,148430
2014-03-31,F,female,50-54,163730
2014-03-31,F,female,55-59,142580
2014-03-31,F,female,60-64,125040
2014-03-31,F,female,65-69,109500
2014-03-31,F,female,65+,346800
2014-03-31,F,female,70-74,82060
2014-03-31,F,female,75-79,60190
2014-03-31,F,female,80-84,46210
2014-03-31,F,female,85-89,30880
2014-03-31,F,female,90+,18010
2014-06-30,F,female,0-14,444e3
2014-06-30,F,female,0-4,150450
2014-06-30,F,female,10-14,144370
2014-06-30,F,female,15-19,152140
2014-06-30,F,female,15-39,746500
2014-06-30,F,female,20-24,159330
2014-06-30,F,female,25-29,147870
2014-06-30,F,female,30-34,144170
2014-06-30,F,female,35-39,143040
2014-06-30,F,female,40-44,164810
2014-06-30,F,female,40-64,760100
2014-06-30,F,female,45-49,161780
2014-06-30,F,female,5-9,149220
2014-06-30,F,female,50-54,164040
2014-06-30,F,female,55-59,143680
2014-06-30,F,female,60-64,125730
2014-06-30,F,female,65-69,110590
2014-06-30,F,female,65+,349500
2014-06-30,F,female,70-74,82900
2014-06-30,F,female,75-79,60560
2014-06-30,F,female,80-84,46250
2014-06-30,F,female,85-89,31070
2014-06-30,F,female,90+,18150
2014-09-30,F,female,0-14,444e3
2014-09-30,F,female,0-4,149780
2014-09-30,F,female,10-14,143910
2014-09-30,F,female,15-19,152940
2014-09-30,F,female,15-39,751800
2014-09-30,F,female,20-24,160690
2014-09-30,F,female,25-29,150040
2014-09-30,F,female,30-34,145260
2014-09-30,F,female,35-39,142840
2014-09-30,F,female,40-44,164130
2014-09-30,F,female,40-64,761700
2014-09-30,F,female,45-49,162070
2014-09-30,F,female,5-9,150330
2014-09-30,F,female,50-54,164380
2014-09-30,F,female,55-59,144740
2014-09-30,F,female,60-64,126420
2014-09-30,F,female,65-69,111940
2014-09-30,F,female,65+,352100
2014-09-30,F,female,70-74,83360
2014-09-30,F,female,75-79,61330
2014-09-30,F,female,80-84,46220
2014-09-30,F,female,85-89,30980
2014-09-30,F,female,90+,18300
2014-12-31,F,female,0-14,444500
2014-12-31,F,female,0-4,149480
2014-12-31,F,female,10-14,143570
2014-12-31,F,female,15-19,152740
2014-12-31,F,female,15-39,756600
2014-12-31,F,female,20-24,161730
2014-12-31,F,female,25-29,152940
2014-12-31,F,female,30-34,146460
2014-12-31,F,female,35-39,142700
2014-12-31,F,female,40-44,163580
